Retirement_Jan_Year,AIME_62_1,Initial_62_1,In_2022_62_1,AIME_65_0,Initial_65_0,In_2022_65_0,AIME_66_0,Initial_66_0,In_2022_66_0,AIME_67_0,Initial_67_0,In_2022_67_0,AIME_70_0,Initial_70_0,In_2022_70_0
1989,2490,739,1683,2287,899,2048,2217,911,2076,2171,936,2132,2000,1063,2422
1990,2648,780,1696,2417,975,2120,2368,984,2141,2302,998,2171,2154,1085,2360
1991,2792,815,1683,2531,1022,2110,2502,1079,2227,2457,1084,2238,2332,1163,2402
1992,2978,860,1711,2716,1088,2167,2617,1113,2216,2592,1175,2338,2470,1231,2451
1993,3154,899,1738,2878,1128,2181,2801,1181,2283,2708,1203,2326,2605,1289,2491
1994,3384,954,1797,3024,1147,2161,2963,1219,2297,2891,1276,2404,2758,1358,2558
1995,3493,972,1781,3219,1199,2197,3112,1248,2287,3055,1319,2417,2896,1474,2700
1996,3657,1006,1798,3402,1248,2230,3306,1300,2323,3201,1352,2415,3012,1501,2681
1997,3877,1056,1833,3634,1326,2302,3490,1364,2368,3396,1412,2452,3189,1609,2794
1998,4144,1117,1899,3750,1342,2282,3724,1437,2444,3584,1477,2511,3348,1648,2801
1999,4463,1191,2000,3926,1373,2304,3847,1451,2436,3822,1544,2591,3496,1684,2826
2000,4775,1248,2043,4161,1435,2350,4031,1502,2460,3954,1585,2596,3707,1752,2870
2001,5126,1314,2079,4440,1538,2433,4272,1593,2521,4144,1657,2622,3912,1879,2973
2002,5499,1382,2132,4770,1660,2560,4555,1692,2610,4390,1750,2698,4165,1988,3066
2003,5729,1412,2147,5099,1721,2618,4890,1814,2759,4679,1836,2793,4321,2045,3111
2004,5892,1422,2119,5457,1784,2658,5219,1894,2822,5015,1989,2963,4532,2111,3145
2005,6137,1452,2107,5827,1874,2718,5574,1982,2875,5341,2088,3029,4786,2252,3267
2006,6515,1530,2133,6058,1961,2734,5940,2108,2938,5692,2223,3098,5072,2420,3373
2007,6852,1598,2155,6229,1998,2696,6177,2194,2960,6062,2348,3168,5406,2672,3605
2008,7260,1682,2218,6479,2030,2677,6350,2212,2918,6300,2432,3208,5733,2794,3684
2009,7685,1769,2205,6861,2172,2707,6606,2323,2896,6480,2539,3165,6090,3054,3807
2010,7949,1820,2268,7189,2191,2731,6976,2346,2925,6728,2532,3157,6450,3119,3888
2011,7928,1803,2248,7579,2249,2803,7299,2366,2949,7091,2555,3185,6683,3193,3980
2012,8199,1855,2232,7973,2310,2779,7680,2513,3024,7407,2666,3208,6852,3266,3929
2013,8539,1923,2275,8230,2414,2856,8074,2533,2997,7788,2780,3289,7095,3350,3964
2014,8890,1992,2323,8229,2431,2834,8335,2642,3080,8182,2795,3259,7452,3425,3992
2015,9066,2025,2321,8479,2452,2810,8314,2663,3053,8417,2916,3343,7747,3501,4012
2016,9431,2102,2409,8782,2491,2856,8556,2639,3025,8395,2891,3313,8090,3576,4098
2017,9784,2153,2461,9076,2542,2905,8843,2687,3070,8624,2870,3280,8426,3538,4043
2018,9936,2158,2418,9243,2589,2901,9144,2788,3124,8918,2973,3330,8649,3698,4143
2019,10296,2209,2408,9578,2757,3005,9300,2861,3118,9204,3106,3386,8635,3770,4109
2020,10683,2265,2430,9919,2857,3064,9636,3011,3230,9366,3150,3379,8864,3790,4066
2021,11098,2324,2461,10074,2841,3008,9979,3113,3296,9704,3306,3501,9150,3895,4125
2022,11430,2364,2364,10437,2993,2993,10141,3240,3240,10049,3568,3568,9446,4194,4194
